,run_id,start,end,tot_q_m3,duration_hrs,intensity_m3_hr,filter_para,sf_thresh,storm_id,q_peak,Event_filter_0.5,Event_filter_10,Event_filter_2,Event_filter_20,Event_filter_1
116,"FC = 0.98, SFT = 0.1",2018-03-23 07:00:00,2018-03-23 20:00:00,6482.482951,14,463.0344965,0.98,0.1,storm_117,0.23,0,0,0,0,0
117,"FC = 0.98, SFT = 0.1",2018-04-19 18:00:00,2018-04-20 09:00:00,11465.56601,16,716.5978757,0.98,0.1,storm_118,0.125,0,0,0,0,0
118,"FC = 0.98, SFT = 0.1",2018-05-30 02:00:00,2018-05-30 15:00:00,13679.33316,14,977.0952258,0.98,0.1,storm_119,0.096,0,0,0,0,0
119,"FC = 0.98, SFT = 0.1",2018-08-04 02:00:00,2018-08-04 22:00:00,14719.47227,21,700.927251,0.98,0.1,storm_120,0.091,0,0,0,0,0
120,"FC = 0.98, SFT = 0.1",2018-08-06 13:00:00,2018-08-07 04:00:00,15578.90773,16,973.6817332,0.98,0.1,storm_121,0.222,0,0,0,0,0
121,"FC = 0.98, SFT = 0.1",2018-08-26 17:00:00,2018-08-27 13:00:00,19488.25461,21,928.0121243,0.98,0.1,storm_122,0.135,0,0,0,0,0
122,"FC = 0.98, SFT = 0.1",2018-08-31 19:00:00,2018-09-01 14:00:00,20553.22693,20,1027.661347,0.98,0.1,storm_123,0.149,0,0,0,0,0
123,"FC = 0.98, SFT = 0.1",2018-09-07 03:00:00,2018-09-07 21:00:00,18956.28805,19,997.6993711,0.98,0.1,storm_124,0.121,0,0,0,0,0
124,"FC = 0.98, SFT = 0.1",2018-09-07 23:00:00,2018-09-09 10:00:00,43353.83474,36,1204.273187,0.98,0.1,storm_125,0.567,1,0,0,0,0
125,"FC = 0.98, SFT = 0.1",2018-09-26 14:00:00,2018-09-27 01:00:00,9385.972456,12,782.1643713,0.98,0.1,storm_126,0.187,0,0,0,0,0
126,"FC = 0.98, SFT = 0.1",2018-10-04 15:00:00,2018-10-06 10:00:00,69328.3818,44,1575.645041,0.98,0.1,storm_127,0.685,1,0,0,0,0
127,"FC = 0.98, SFT = 0.1",2018-10-10 12:00:00,2018-10-12 19:00:00,142707.3791,56,2548.346055,0.98,0.1,storm_128,1.31,1,0,0,0,1
128,"FC = 0.98, SFT = 0.1",2018-10-17 13:00:00,2018-10-19 20:00:00,49659.9124,56,886.78415,0.98,0.1,storm_129,0.53,1,0,0,0,0
129,"FC = 0.98, SFT = 0.1",2018-11-02 23:00:00,2018-11-03 12:00:00,19834.34157,14,1416.738684,0.98,0.1,storm_130,0.083,0,0,0,0,0
130,"FC = 0.98, SFT = 0.1",2018-11-21 23:00:00,2018-11-22 18:00:00,30205.00914,20,1510.250457,0.98,0.1,storm_131,0.078,0,0,0,0,0
131,"FC = 0.98, SFT = 0.1",2018-11-28 06:00:00,2018-12-01 13:00:00,814429.8713,80,10180.37339,0.98,0.1,storm_132,7.971,1,0,1,0,1
132,"FC = 0.98, SFT = 0.1",2018-12-13 21:00:00,2018-12-17 03:00:00,147258.7967,79,1864.035402,0.98,0.1,storm_133,0.891,1,0,0,0,0
133,"FC = 0.98, SFT = 0.1",2018-12-19 17:00:00,2018-12-24 01:00:00,753958.5233,105,7180.557365,0.98,0.1,storm_134,4.435,1,0,1,0,1
134,"FC = 0.98, SFT = 0.1",2019-01-06 00:00:00,2019-01-06 11:00:00,14780.11847,12,1231.676539,0.98,0.1,storm_135,0.094,0,0,0,0,0
135,"FC = 0.98, SFT = 0.1",2019-01-11 15:00:00,2019-01-12 20:00:00,91196.00655,30,3039.866885,0.98,0.1,storm_136,0.968,1,0,0,0,0
136,"FC = 0.98, SFT = 0.1",2019-01-21 05:00:00,2019-01-22 00:00:00,31844.332,20,1592.2166,0.98,0.1,storm_137,0.429,0,0,0,0,0
137,"FC = 0.98, SFT = 0.1",2019-01-23 13:00:00,2019-01-24 18:00:00,224721.5716,30,7490.719054,0.98,0.1,storm_138,2.497,1,0,1,0,1
138,"FC = 0.98, SFT = 0.1",2019-03-16 13:00:00,2019-03-18 13:00:00,92708.11424,49,1892.002331,0.98,0.1,storm_139,0.594,1,0,0,0,0
